"Notes"	"Month Day, Year"	"Month Day, Year Code"	"State"	"State Code"	Avg Daily Max Air Temperature (F)
	"Aug 25, 2010"	"2010/08/25"	"Georgia"	"13"	90.66
"Total"	"Aug 25, 2010"	"2010/08/25"			90.66
	"Aug 26, 2010"	"2010/08/26"	"Georgia"	"13"	88.93
"Total"	"Aug 26, 2010"	"2010/08/26"			88.93
	"Aug 27, 2010"	"2010/08/27"	"Georgia"	"13"	88.04
"Total"	"Aug 27, 2010"	"2010/08/27"			88.04
	"Aug 28, 2010"	"2010/08/28"	"Georgia"	"13"	87.93
"Total"	"Aug 28, 2010"	"2010/08/28"			87.93
	"Aug 29, 2010"	"2010/08/29"	"Georgia"	"13"	85.95
"Total"	"Aug 29, 2010"	"2010/08/29"			85.95
	"Aug 30, 2010"	"2010/08/30"	"Georgia"	"13"	87.79
"Total"	"Aug 30, 2010"	"2010/08/30"			87.79
	"Aug 31, 2010"	"2010/08/31"	"Georgia"	"13"	91.51
"Total"	"Aug 31, 2010"	"2010/08/31"			91.51
	"Sep 01, 2010"	"2010/09/01"	"Georgia"	"13"	91.95
"Total"	"Sep 01, 2010"	"2010/09/01"			91.95
	"Sep 02, 2010"	"2010/09/02"	"Georgia"	"13"	91.73
"Total"	"Sep 02, 2010"	"2010/09/02"			91.73
	"Sep 03, 2010"	"2010/09/03"	"Georgia"	"13"	93.64
"Total"	"Sep 03, 2010"	"2010/09/03"			93.64
	"Sep 04, 2010"	"2010/09/04"	"Georgia"	"13"	87.49
"Total"	"Sep 04, 2010"	"2010/09/04"			87.49
	"Sep 05, 2010"	"2010/09/05"	"Georgia"	"13"	87.66
"Total"	"Sep 05, 2010"	"2010/09/05"			87.66
	"Sep 06, 2010"	"2010/09/06"	"Georgia"	"13"	91.76
"Total"	"Sep 06, 2010"	"2010/09/06"			91.76
	"Sep 07, 2010"	"2010/09/07"	"Georgia"	"13"	92.77
"Total"	"Sep 07, 2010"	"2010/09/07"			92.77
	"Sep 08, 2010"	"2010/09/08"	"Georgia"	"13"	93.83
"Total"	"Sep 08, 2010"	"2010/09/08"			93.83
	"Sep 09, 2010"	"2010/09/09"	"Georgia"	"13"	91.48
"Total"	"Sep 09, 2010"	"2010/09/09"			91.48
	"Sep 10, 2010"	"2010/09/10"	"Georgia"	"13"	93.23
"Total"	"Sep 10, 2010"	"2010/09/10"			93.23
	"Sep 11, 2010"	"2010/09/11"	"Georgia"	"13"	94.01
"Total"	"Sep 11, 2010"	"2010/09/11"			94.01
	"Sep 12, 2010"	"2010/09/12"	"Georgia"	"13"	92.34
"Total"	"Sep 12, 2010"	"2010/09/12"			92.34
	"Sep 13, 2010"	"2010/09/13"	"Georgia"	"13"	89.54
"Total"	"Sep 13, 2010"	"2010/09/13"			89.54
	"Sep 14, 2010"	"2010/09/14"	"Georgia"	"13"	91.15
"Total"	"Sep 14, 2010"	"2010/09/14"			91.15
	"Sep 15, 2010"	"2010/09/15"	"Georgia"	"13"	92.33
"Total"	"Sep 15, 2010"	"2010/09/15"			92.33
	"Sep 16, 2010"	"2010/09/16"	"Georgia"	"13"	91.00
"Total"	"Sep 16, 2010"	"2010/09/16"			91.00
	"Sep 17, 2010"	"2010/09/17"	"Georgia"	"13"	92.87
"Total"	"Sep 17, 2010"	"2010/09/17"			92.87
	"Sep 18, 2010"	"2010/09/18"	"Georgia"	"13"	93.83
"Total"	"Sep 18, 2010"	"2010/09/18"			93.83
	"Sep 19, 2010"	"2010/09/19"	"Georgia"	"13"	94.29
"Total"	"Sep 19, 2010"	"2010/09/19"			94.29
	"Sep 20, 2010"	"2010/09/20"	"Georgia"	"13"	94.93
"Total"	"Sep 20, 2010"	"2010/09/20"			94.93
	"Sep 21, 2010"	"2010/09/21"	"Georgia"	"13"	94.70
"Total"	"Sep 21, 2010"	"2010/09/21"			94.70
	"Sep 22, 2010"	"2010/09/22"	"Georgia"	"13"	92.34
"Total"	"Sep 22, 2010"	"2010/09/22"			92.34
	"Sep 23, 2010"	"2010/09/23"	"Georgia"	"13"	93.19
"Total"	"Sep 23, 2010"	"2010/09/23"			93.19
	"Sep 24, 2010"	"2010/09/24"	"Georgia"	"13"	92.42
"Total"	"Sep 24, 2010"	"2010/09/24"			92.42
	"Sep 25, 2010"	"2010/09/25"	"Georgia"	"13"	91.26
"Total"	"Sep 25, 2010"	"2010/09/25"			91.26
	"Sep 26, 2010"	"2010/09/26"	"Georgia"	"13"	83.37
"Total"	"Sep 26, 2010"	"2010/09/26"			83.37
	"Sep 27, 2010"	"2010/09/27"	"Georgia"	"13"	77.98
"Total"	"Sep 27, 2010"	"2010/09/27"			77.98
	"Sep 28, 2010"	"2010/09/28"	"Georgia"	"13"	78.55
"Total"	"Sep 28, 2010"	"2010/09/28"			78.55
	"Sep 29, 2010"	"2010/09/29"	"Georgia"	"13"	78.59
"Total"	"Sep 29, 2010"	"2010/09/29"			78.59
	"Sep 30, 2010"	"2010/09/30"	"Georgia"	"13"	78.69
"Total"	"Sep 30, 2010"	"2010/09/30"			78.69
	"Oct 01, 2010"	"2010/10/01"	"Georgia"	"13"	78.75
"Total"	"Oct 01, 2010"	"2010/10/01"			78.75
	"Oct 02, 2010"	"2010/10/02"	"Georgia"	"13"	76.90
"Total"	"Oct 02, 2010"	"2010/10/02"			76.90
	"Oct 03, 2010"	"2010/10/03"	"Georgia"	"13"	75.02
"Total"	"Oct 03, 2010"	"2010/10/03"			75.02
	"Oct 04, 2010"	"2010/10/04"	"Georgia"	"13"	70.38
"Total"	"Oct 04, 2010"	"2010/10/04"			70.38
	"Oct 05, 2010"	"2010/10/05"	"Georgia"	"13"	70.05
"Total"	"Oct 05, 2010"	"2010/10/05"			70.05
	"Oct 06, 2010"	"2010/10/06"	"Georgia"	"13"	73.48
"Total"	"Oct 06, 2010"	"2010/10/06"			73.48
	"Oct 07, 2010"	"2010/10/07"	"Georgia"	"13"	80.95
"Total"	"Oct 07, 2010"	"2010/10/07"			80.95
	"Oct 08, 2010"	"2010/10/08"	"Georgia"	"13"	82.62
"Total"	"Oct 08, 2010"	"2010/10/08"			82.62
	"Oct 09, 2010"	"2010/10/09"	"Georgia"	"13"	84.32
"Total"	"Oct 09, 2010"	"2010/10/09"			84.32
	"Oct 10, 2010"	"2010/10/10"	"Georgia"	"13"	84.38
"Total"	"Oct 10, 2010"	"2010/10/10"			84.38
	"Oct 11, 2010"	"2010/10/11"	"Georgia"	"13"	85.88
"Total"	"Oct 11, 2010"	"2010/10/11"			85.88
	"Oct 12, 2010"	"2010/10/12"	"Georgia"	"13"	83.69
"Total"	"Oct 12, 2010"	"2010/10/12"			83.69
	"Oct 13, 2010"	"2010/10/13"	"Georgia"	"13"	81.25
"Total"	"Oct 13, 2010"	"2010/10/13"			81.25
	"Oct 14, 2010"	"2010/10/14"	"Georgia"	"13"	78.67
"Total"	"Oct 14, 2010"	"2010/10/14"			78.67
	"Oct 15, 2010"	"2010/10/15"	"Georgia"	"13"	76.15
"Total"	"Oct 15, 2010"	"2010/10/15"			76.15
	"Oct 16, 2010"	"2010/10/16"	"Georgia"	"13"	75.35
"Total"	"Oct 16, 2010"	"2010/10/16"			75.35
	"Oct 17, 2010"	"2010/10/17"	"Georgia"	"13"	80.11
"Total"	"Oct 17, 2010"	"2010/10/17"			80.11
	"Oct 18, 2010"	"2010/10/18"	"Georgia"	"13"	80.92
"Total"	"Oct 18, 2010"	"2010/10/18"			80.92
	"Oct 19, 2010"	"2010/10/19"	"Georgia"	"13"	81.79
"Total"	"Oct 19, 2010"	"2010/10/19"			81.79
	"Oct 20, 2010"	"2010/10/20"	"Georgia"	"13"	79.16
"Total"	"Oct 20, 2010"	"2010/10/20"			79.16
	"Oct 21, 2010"	"2010/10/21"	"Georgia"	"13"	79.73
"Total"	"Oct 21, 2010"	"2010/10/21"			79.73
	"Oct 22, 2010"	"2010/10/22"	"Georgia"	"13"	79.78
"Total"	"Oct 22, 2010"	"2010/10/22"			79.78
	"Oct 23, 2010"	"2010/10/23"	"Georgia"	"13"	80.85
"Total"	"Oct 23, 2010"	"2010/10/23"			80.85
	"Oct 24, 2010"	"2010/10/24"	"Georgia"	"13"	85.62
"Total"	"Oct 24, 2010"	"2010/10/24"			85.62
	"Oct 25, 2010"	"2010/10/25"	"Georgia"	"13"	83.39
"Total"	"Oct 25, 2010"	"2010/10/25"			83.39
	"Oct 26, 2010"	"2010/10/26"	"Georgia"	"13"	88.77
"Total"	"Oct 26, 2010"	"2010/10/26"			88.77
	"Oct 27, 2010"	"2010/10/27"	"Georgia"	"13"	83.62
"Total"	"Oct 27, 2010"	"2010/10/27"			83.62
	"Oct 28, 2010"	"2010/10/28"	"Georgia"	"13"	79.40
"Total"	"Oct 28, 2010"	"2010/10/28"			79.40
	"Oct 29, 2010"	"2010/10/29"	"Georgia"	"13"	70.64
"Total"	"Oct 29, 2010"	"2010/10/29"			70.64
	"Oct 30, 2010"	"2010/10/30"	"Georgia"	"13"	73.29
"Total"	"Oct 30, 2010"	"2010/10/30"			73.29
	"Oct 31, 2010"	"2010/10/31"	"Georgia"	"13"	76.18
"Total"	"Oct 31, 2010"	"2010/10/31"			76.18
	"Nov 01, 2010"	"2010/11/01"	"Georgia"	"13"	75.72
"Total"	"Nov 01, 2010"	"2010/11/01"			75.72
	"Nov 02, 2010"	"2010/11/02"	"Georgia"	"13"	69.55
"Total"	"Nov 02, 2010"	"2010/11/02"			69.55
	"Nov 03, 2010"	"2010/11/03"	"Georgia"	"13"	66.60
"Total"	"Nov 03, 2010"	"2010/11/03"			66.60
	"Nov 04, 2010"	"2010/11/04"	"Georgia"	"13"	62.79
"Total"	"Nov 04, 2010"	"2010/11/04"			62.79
	"Nov 05, 2010"	"2010/11/05"	"Georgia"	"13"	55.79
"Total"	"Nov 05, 2010"	"2010/11/05"			55.79
	"Nov 06, 2010"	"2010/11/06"	"Georgia"	"13"	53.45
"Total"	"Nov 06, 2010"	"2010/11/06"			53.45
	"Nov 07, 2010"	"2010/11/07"	"Georgia"	"13"	56.94
"Total"	"Nov 07, 2010"	"2010/11/07"			56.94
	"Nov 08, 2010"	"2010/11/08"	"Georgia"	"13"	68.87
"Total"	"Nov 08, 2010"	"2010/11/08"			68.87
	"Nov 09, 2010"	"2010/11/09"	"Georgia"	"13"	74.53
"Total"	"Nov 09, 2010"	"2010/11/09"			74.53
	"Nov 10, 2010"	"2010/11/10"	"Georgia"	"13"	75.35
"Total"	"Nov 10, 2010"	"2010/11/10"			75.35
	"Nov 11, 2010"	"2010/11/11"	"Georgia"	"13"	73.85
"Total"	"Nov 11, 2010"	"2010/11/11"			73.85
	"Nov 12, 2010"	"2010/11/12"	"Georgia"	"13"	70.52
"Total"	"Nov 12, 2010"	"2010/11/12"			70.52
	"Nov 13, 2010"	"2010/11/13"	"Georgia"	"13"	68.81
"Total"	"Nov 13, 2010"	"2010/11/13"			68.81
	"Nov 14, 2010"	"2010/11/14"	"Georgia"	"13"	69.77
"Total"	"Nov 14, 2010"	"2010/11/14"			69.77
	"Nov 15, 2010"	"2010/11/15"	"Georgia"	"13"	70.92
"Total"	"Nov 15, 2010"	"2010/11/15"			70.92
	"Nov 16, 2010"	"2010/11/16"	"Georgia"	"13"	71.12
"Total"	"Nov 16, 2010"	"2010/11/16"			71.12
	"Nov 17, 2010"	"2010/11/17"	"Georgia"	"13"	62.11
"Total"	"Nov 17, 2010"	"2010/11/17"			62.11
	"Nov 18, 2010"	"2010/11/18"	"Georgia"	"13"	62.40
"Total"	"Nov 18, 2010"	"2010/11/18"			62.40
	"Nov 19, 2010"	"2010/11/19"	"Georgia"	"13"	65.74
"Total"	"Nov 19, 2010"	"2010/11/19"			65.74
	"Nov 20, 2010"	"2010/11/20"	"Georgia"	"13"	70.25
"Total"	"Nov 20, 2010"	"2010/11/20"			70.25
	"Nov 21, 2010"	"2010/11/21"	"Georgia"	"13"	73.13
"Total"	"Nov 21, 2010"	"2010/11/21"			73.13
	"Nov 22, 2010"	"2010/11/22"	"Georgia"	"13"	73.40
"Total"	"Nov 22, 2010"	"2010/11/22"			73.40
	"Nov 23, 2010"	"2010/11/23"	"Georgia"	"13"	74.50
"Total"	"Nov 23, 2010"	"2010/11/23"			74.50
	"Nov 24, 2010"	"2010/11/24"	"Georgia"	"13"	75.57
"Total"	"Nov 24, 2010"	"2010/11/24"			75.57
	"Nov 25, 2010"	"2010/11/25"	"Georgia"	"13"	77.68
"Total"	"Nov 25, 2010"	"2010/11/25"			77.68
	"Nov 26, 2010"	"2010/11/26"	"Georgia"	"13"	68.45
"Total"	"Nov 26, 2010"	"2010/11/26"			68.45
	"Nov 27, 2010"	"2010/11/27"	"Georgia"	"13"	55.60
"Total"	"Nov 27, 2010"	"2010/11/27"			55.60
	"Nov 28, 2010"	"2010/11/28"	"Georgia"	"13"	58.29
"Total"	"Nov 28, 2010"	"2010/11/28"			58.29
	"Nov 29, 2010"	"2010/11/29"	"Georgia"	"13"	62.29
"Total"	"Nov 29, 2010"	"2010/11/29"			62.29
	"Nov 30, 2010"	"2010/11/30"	"Georgia"	"13"	73.48
"Total"	"Nov 30, 2010"	"2010/11/30"			73.48
	"Dec 01, 2010"	"2010/12/01"	"Georgia"	"13"	54.23
"Total"	"Dec 01, 2010"	"2010/12/01"			54.23
	"Dec 02, 2010"	"2010/12/02"	"Georgia"	"13"	50.19
"Total"	"Dec 02, 2010"	"2010/12/02"			50.19
	"Dec 03, 2010"	"2010/12/03"	"Georgia"	"13"	57.76
"Total"	"Dec 03, 2010"	"2010/12/03"			57.76
	"Dec 04, 2010"	"2010/12/04"	"Georgia"	"13"	59.30
"Total"	"Dec 04, 2010"	"2010/12/04"			59.30
	"Dec 05, 2010"	"2010/12/05"	"Georgia"	"13"	52.47
"Total"	"Dec 05, 2010"	"2010/12/05"			52.47
	"Dec 06, 2010"	"2010/12/06"	"Georgia"	"13"	40.41
"Total"	"Dec 06, 2010"	"2010/12/06"			40.41
	"Dec 07, 2010"	"2010/12/07"	"Georgia"	"13"	39.91
"Total"	"Dec 07, 2010"	"2010/12/07"			39.91
	"Dec 08, 2010"	"2010/12/08"	"Georgia"	"13"	40.49
"Total"	"Dec 08, 2010"	"2010/12/08"			40.49
	"Dec 09, 2010"	"2010/12/09"	"Georgia"	"13"	45.17
"Total"	"Dec 09, 2010"	"2010/12/09"			45.17
	"Dec 10, 2010"	"2010/12/10"	"Georgia"	"13"	49.25
"Total"	"Dec 10, 2010"	"2010/12/10"			49.25
	"Dec 11, 2010"	"2010/12/11"	"Georgia"	"13"	54.62
"Total"	"Dec 11, 2010"	"2010/12/11"			54.62
	"Dec 12, 2010"	"2010/12/12"	"Georgia"	"13"	51.52
"Total"	"Dec 12, 2010"	"2010/12/12"			51.52
	"Dec 13, 2010"	"2010/12/13"	"Georgia"	"13"	31.40
"Total"	"Dec 13, 2010"	"2010/12/13"			31.40
	"Dec 14, 2010"	"2010/12/14"	"Georgia"	"13"	33.78
"Total"	"Dec 14, 2010"	"2010/12/14"			33.78
	"Dec 15, 2010"	"2010/12/15"	"Georgia"	"13"	38.78
"Total"	"Dec 15, 2010"	"2010/12/15"			38.78
	"Dec 16, 2010"	"2010/12/16"	"Georgia"	"13"	60.03
"Total"	"Dec 16, 2010"	"2010/12/16"			60.03
	"Dec 17, 2010"	"2010/12/17"	"Georgia"	"13"	57.22
"Total"	"Dec 17, 2010"	"2010/12/17"			57.22
	"Dec 18, 2010"	"2010/12/18"	"Georgia"	"13"	50.66
"Total"	"Dec 18, 2010"	"2010/12/18"			50.66
	"Dec 19, 2010"	"2010/12/19"	"Georgia"	"13"	47.14
"Total"	"Dec 19, 2010"	"2010/12/19"			47.14
	"Dec 20, 2010"	"2010/12/20"	"Georgia"	"13"	48.39
"Total"	"Dec 20, 2010"	"2010/12/20"			48.39
	"Dec 21, 2010"	"2010/12/21"	"Georgia"	"13"	52.49
"Total"	"Dec 21, 2010"	"2010/12/21"			52.49
	"Dec 22, 2010"	"2010/12/22"	"Georgia"	"13"	65.84
"Total"	"Dec 22, 2010"	"2010/12/22"			65.84
	"Dec 23, 2010"	"2010/12/23"	"Georgia"	"13"	49.06
"Total"	"Dec 23, 2010"	"2010/12/23"			49.06
	"Dec 24, 2010"	"2010/12/24"	"Georgia"	"13"	49.56
"Total"	"Dec 24, 2010"	"2010/12/24"			49.56
	"Dec 25, 2010"	"2010/12/25"	"Georgia"	"13"	50.23
"Total"	"Dec 25, 2010"	"2010/12/25"			50.23
	"Dec 26, 2010"	"2010/12/26"	"Georgia"	"13"	38.35
"Total"	"Dec 26, 2010"	"2010/12/26"			38.35
	"Dec 27, 2010"	"2010/12/27"	"Georgia"	"13"	39.09
"Total"	"Dec 27, 2010"	"2010/12/27"			39.09
	"Dec 28, 2010"	"2010/12/28"	"Georgia"	"13"	45.16
"Total"	"Dec 28, 2010"	"2010/12/28"			45.16
	"Dec 29, 2010"	"2010/12/29"	"Georgia"	"13"	51.84
"Total"	"Dec 29, 2010"	"2010/12/29"			51.84
	"Dec 30, 2010"	"2010/12/30"	"Georgia"	"13"	53.01
"Total"	"Dec 30, 2010"	"2010/12/30"			53.01
	"Dec 31, 2010"	"2010/12/31"	"Georgia"	"13"	65.32
"Total"	"Dec 31, 2010"	"2010/12/31"			65.32
	"Jan 01, 2011"	"2011/01/01"	"Georgia"	"13"	69.67
"Total"	"Jan 01, 2011"	"2011/01/01"			69.67
	"Jan 02, 2011"	"2011/01/02"	"Georgia"	"13"	61.29
"Total"	"Jan 02, 2011"	"2011/01/02"			61.29
	"Jan 03, 2011"	"2011/01/03"	"Georgia"	"13"	50.41
"Total"	"Jan 03, 2011"	"2011/01/03"			50.41
	"Jan 04, 2011"	"2011/01/04"	"Georgia"	"13"	54.96
"Total"	"Jan 04, 2011"	"2011/01/04"			54.96
	"Jan 05, 2011"	"2011/01/05"	"Georgia"	"13"	47.83
"Total"	"Jan 05, 2011"	"2011/01/05"			47.83
	"Jan 06, 2011"	"2011/01/06"	"Georgia"	"13"	51.40
"Total"	"Jan 06, 2011"	"2011/01/06"			51.40
	"Jan 07, 2011"	"2011/01/07"	"Georgia"	"13"	54.99
"Total"	"Jan 07, 2011"	"2011/01/07"			54.99
	"Jan 08, 2011"	"2011/01/08"	"Georgia"	"13"	46.38
"Total"	"Jan 08, 2011"	"2011/01/08"			46.38
	"Jan 09, 2011"	"2011/01/09"	"Georgia"	"13"	40.26
"Total"	"Jan 09, 2011"	"2011/01/09"			40.26
	"Jan 10, 2011"	"2011/01/10"	"Georgia"	"13"	34.80
"Total"	"Jan 10, 2011"	"2011/01/10"			34.80
	"Jan 11, 2011"	"2011/01/11"	"Georgia"	"13"	41.92
"Total"	"Jan 11, 2011"	"2011/01/11"			41.92
	"Jan 12, 2011"	"2011/01/12"	"Georgia"	"13"	34.01
"Total"	"Jan 12, 2011"	"2011/01/12"			34.01
	"Jan 13, 2011"	"2011/01/13"	"Georgia"	"13"	36.94
"Total"	"Jan 13, 2011"	"2011/01/13"			36.94
	"Jan 14, 2011"	"2011/01/14"	"Georgia"	"13"	41.80
"Total"	"Jan 14, 2011"	"2011/01/14"			41.80
	"Jan 15, 2011"	"2011/01/15"	"Georgia"	"13"	46.30
"Total"	"Jan 15, 2011"	"2011/01/15"			46.30
	"Jan 16, 2011"	"2011/01/16"	"Georgia"	"13"	54.04
"Total"	"Jan 16, 2011"	"2011/01/16"			54.04
	"Jan 17, 2011"	"2011/01/17"	"Georgia"	"13"	48.20
"Total"	"Jan 17, 2011"	"2011/01/17"			48.20
	"Jan 18, 2011"	"2011/01/18"	"Georgia"	"13"	57.45
"Total"	"Jan 18, 2011"	"2011/01/18"			57.45
	"Jan 19, 2011"	"2011/01/19"	"Georgia"	"13"	57.87
"Total"	"Jan 19, 2011"	"2011/01/19"			57.87
	"Jan 20, 2011"	"2011/01/20"	"Georgia"	"13"	58.65
"Total"	"Jan 20, 2011"	"2011/01/20"			58.65
	"Jan 21, 2011"	"2011/01/21"	"Georgia"	"13"	48.14
"Total"	"Jan 21, 2011"	"2011/01/21"			48.14
	"Jan 22, 2011"	"2011/01/22"	"Georgia"	"13"	42.14
"Total"	"Jan 22, 2011"	"2011/01/22"			42.14
	"Jan 23, 2011"	"2011/01/23"	"Georgia"	"13"	47.40
"Total"	"Jan 23, 2011"	"2011/01/23"			47.40
	"Jan 24, 2011"	"2011/01/24"	"Georgia"	"13"	51.05
"Total"	"Jan 24, 2011"	"2011/01/24"			51.05
	"Jan 25, 2011"	"2011/01/25"	"Georgia"	"13"	51.36
"Total"	"Jan 25, 2011"	"2011/01/25"			51.36
	"Jan 26, 2011"	"2011/01/26"	"Georgia"	"13"	49.20
"Total"	"Jan 26, 2011"	"2011/01/26"			49.20
	"Jan 27, 2011"	"2011/01/27"	"Georgia"	"13"	50.76
"Total"	"Jan 27, 2011"	"2011/01/27"			50.76
	"Jan 28, 2011"	"2011/01/28"	"Georgia"	"13"	58.22
"Total"	"Jan 28, 2011"	"2011/01/28"			58.22
	"Jan 29, 2011"	"2011/01/29"	"Georgia"	"13"	63.89
"Total"	"Jan 29, 2011"	"2011/01/29"			63.89
	"Jan 30, 2011"	"2011/01/30"	"Georgia"	"13"	68.03
"Total"	"Jan 30, 2011"	"2011/01/30"			68.03
	"Jan 31, 2011"	"2011/01/31"	"Georgia"	"13"	55.73
"Total"	"Jan 31, 2011"	"2011/01/31"			55.73
	"Feb 01, 2011"	"2011/02/01"	"Georgia"	"13"	64.18
"Total"	"Feb 01, 2011"	"2011/02/01"			64.18
	"Feb 02, 2011"	"2011/02/02"	"Georgia"	"13"	62.08
"Total"	"Feb 02, 2011"	"2011/02/02"			62.08
	"Feb 03, 2011"	"2011/02/03"	"Georgia"	"13"	52.07
"Total"	"Feb 03, 2011"	"2011/02/03"			52.07
	"Feb 04, 2011"	"2011/02/04"	"Georgia"	"13"	44.92
"Total"	"Feb 04, 2011"	"2011/02/04"			44.92
	"Feb 05, 2011"	"2011/02/05"	"Georgia"	"13"	53.17
"Total"	"Feb 05, 2011"	"2011/02/05"			53.17
	"Feb 06, 2011"	"2011/02/06"	"Georgia"	"13"	53.86
"Total"	"Feb 06, 2011"	"2011/02/06"			53.86
	"Feb 07, 2011"	"2011/02/07"	"Georgia"	"13"	51.62
"Total"	"Feb 07, 2011"	"2011/02/07"			51.62
	"Feb 08, 2011"	"2011/02/08"	"Georgia"	"13"	46.41
"Total"	"Feb 08, 2011"	"2011/02/08"			46.41
	"Feb 09, 2011"	"2011/02/09"	"Georgia"	"13"	51.33
"Total"	"Feb 09, 2011"	"2011/02/09"			51.33
	"Feb 10, 2011"	"2011/02/10"	"Georgia"	"13"	46.63
"Total"	"Feb 10, 2011"	"2011/02/10"			46.63
	"Feb 11, 2011"	"2011/02/11"	"Georgia"	"13"	47.47
"Total"	"Feb 11, 2011"	"2011/02/11"			47.47
	"Feb 12, 2011"	"2011/02/12"	"Georgia"	"13"	53.62
"Total"	"Feb 12, 2011"	"2011/02/12"			53.62
	"Feb 13, 2011"	"2011/02/13"	"Georgia"	"13"	58.24
"Total"	"Feb 13, 2011"	"2011/02/13"			58.24
	"Feb 14, 2011"	"2011/02/14"	"Georgia"	"13"	62.00
"Total"	"Feb 14, 2011"	"2011/02/14"			62.00
	"Feb 15, 2011"	"2011/02/15"	"Georgia"	"13"	61.17
"Total"	"Feb 15, 2011"	"2011/02/15"			61.17
	"Feb 16, 2011"	"2011/02/16"	"Georgia"	"13"	62.01
"Total"	"Feb 16, 2011"	"2011/02/16"			62.01
	"Feb 17, 2011"	"2011/02/17"	"Georgia"	"13"	70.04
"Total"	"Feb 17, 2011"	"2011/02/17"			70.04
	"Feb 18, 2011"	"2011/02/18"	"Georgia"	"13"	72.32
"Total"	"Feb 18, 2011"	"2011/02/18"			72.32
	"Feb 19, 2011"	"2011/02/19"	"Georgia"	"13"	72.36
"Total"	"Feb 19, 2011"	"2011/02/19"			72.36
	"Feb 20, 2011"	"2011/02/20"	"Georgia"	"13"	67.98
"Total"	"Feb 20, 2011"	"2011/02/20"			67.98
	"Feb 21, 2011"	"2011/02/21"	"Georgia"	"13"	75.52
"Total"	"Feb 21, 2011"	"2011/02/21"			75.52
	"Feb 22, 2011"	"2011/02/22"	"Georgia"	"13"	72.20
"Total"	"Feb 22, 2011"	"2011/02/22"			72.20
	"Feb 23, 2011"	"2011/02/23"	"Georgia"	"13"	66.84
"Total"	"Feb 23, 2011"	"2011/02/23"			66.84
	"Feb 24, 2011"	"2011/02/24"	"Georgia"	"13"	71.18
"Total"	"Feb 24, 2011"	"2011/02/24"			71.18
	"Feb 25, 2011"	"2011/02/25"	"Georgia"	"13"	70.47
"Total"	"Feb 25, 2011"	"2011/02/25"			70.47
	"Feb 26, 2011"	"2011/02/26"	"Georgia"	"13"	70.26
"Total"	"Feb 26, 2011"	"2011/02/26"			70.26
	"Feb 27, 2011"	"2011/02/27"	"Georgia"	"13"	78.82
"Total"	"Feb 27, 2011"	"2011/02/27"			78.82
	"Feb 28, 2011"	"2011/02/28"	"Georgia"	"13"	81.18
"Total"	"Feb 28, 2011"	"2011/02/28"			81.18
	"Mar 01, 2011"	"2011/03/01"	"Georgia"	"13"	67.59
"Total"	"Mar 01, 2011"	"2011/03/01"			67.59
	"Mar 02, 2011"	"2011/03/02"	"Georgia"	"13"	66.38
"Total"	"Mar 02, 2011"	"2011/03/02"			66.38
	"Mar 03, 2011"	"2011/03/03"	"Georgia"	"13"	66.14
"Total"	"Mar 03, 2011"	"2011/03/03"			66.14
	"Mar 04, 2011"	"2011/03/04"	"Georgia"	"13"	63.80
"Total"	"Mar 04, 2011"	"2011/03/04"			63.80
	"Mar 05, 2011"	"2011/03/05"	"Georgia"	"13"	66.67
"Total"	"Mar 05, 2011"	"2011/03/05"			66.67
	"Mar 06, 2011"	"2011/03/06"	"Georgia"	"13"	61.96
"Total"	"Mar 06, 2011"	"2011/03/06"			61.96
	"Mar 07, 2011"	"2011/03/07"	"Georgia"	"13"	59.89
"Total"	"Mar 07, 2011"	"2011/03/07"			59.89
	"Mar 08, 2011"	"2011/03/08"	"Georgia"	"13"	65.50
"Total"	"Mar 08, 2011"	"2011/03/08"			65.50
	"Mar 09, 2011"	"2011/03/09"	"Georgia"	"13"	69.49
"Total"	"Mar 09, 2011"	"2011/03/09"			69.49
	"Mar 10, 2011"	"2011/03/10"	"Georgia"	"13"	59.67
"Total"	"Mar 10, 2011"	"2011/03/10"			59.67
	"Mar 11, 2011"	"2011/03/11"	"Georgia"	"13"	55.52
"Total"	"Mar 11, 2011"	"2011/03/11"			55.52
	"Mar 12, 2011"	"2011/03/12"	"Georgia"	"13"	67.63
"Total"	"Mar 12, 2011"	"2011/03/12"			67.63
	"Mar 13, 2011"	"2011/03/13"	"Georgia"	"13"	72.87
"Total"	"Mar 13, 2011"	"2011/03/13"			72.87
	"Mar 14, 2011"	"2011/03/14"	"Georgia"	"13"	74.31
"Total"	"Mar 14, 2011"	"2011/03/14"			74.31
	"Mar 15, 2011"	"2011/03/15"	"Georgia"	"13"	71.54
"Total"	"Mar 15, 2011"	"2011/03/15"			71.54
	"Mar 16, 2011"	"2011/03/16"	"Georgia"	"13"	66.21
"Total"	"Mar 16, 2011"	"2011/03/16"			66.21
	"Mar 17, 2011"	"2011/03/17"	"Georgia"	"13"	73.99
"Total"	"Mar 17, 2011"	"2011/03/17"			73.99
	"Mar 18, 2011"	"2011/03/18"	"Georgia"	"13"	79.51
"Total"	"Mar 18, 2011"	"2011/03/18"			79.51
	"Mar 19, 2011"	"2011/03/19"	"Georgia"	"13"	80.83
"Total"	"Mar 19, 2011"	"2011/03/19"			80.83
	"Mar 20, 2011"	"2011/03/20"	"Georgia"	"13"	76.31
"Total"	"Mar 20, 2011"	"2011/03/20"			76.31
